Tarih,Kapanis
2022-12-22,0.825
2022-12-23,0.9075
2022-12-26,0.9983
2022-12-27,1.098
2022-12-28,1.2075
2022-12-29,1.3282
2022-12-30,1.461
2023-01-02,1.6065
2023-01-03,1.767
2023-01-04,1.9425
2023-01-05,1.749
2023-01-06,1.923
2023-01-09,2.115
2023-01-10,2.154
2023-01-11,1.9395
2023-01-12,1.845
2023-01-13,1.743
2023-01-16,1.6875
2023-01-17,1.8555
2023-01-18,1.875
2023-01-19,1.8
2023-01-20,1.8585
2023-01-23,1.7475
2023-01-24,1.6785
2023-01-25,1.785
2023-01-26,1.803
2023-01-27,1.7385
2023-01-30,1.707
2023-01-31,1.65
2023-02-01,1.638
2023-02-02,1.71
2023-02-03,1.7775
2023-02-06,1.7175
2023-02-07,1.557
2023-02-15,1.6965
2023-02-16,1.533
2023-02-17,1.5375
2023-02-20,1.545
2023-02-21,1.5045
2023-02-22,1.4955
2023-02-23,1.515
2023-02-24,1.4925
2023-02-27,1.5075
2023-02-28,1.575
2023-03-01,1.554
2023-03-02,1.7085
2023-03-03,1.695
2023-03-06,1.7325
2023-03-07,1.7505
2023-03-08,1.9245
2023-03-09,2.1165
2023-03-10,1.9215
2023-03-13,1.941
2023-03-14,1.8795
2023-03-15,2.001
2023-03-16,2.025
2023-03-17,2.1945
2023-03-20,2.34
2023-03-21,2.1555
2023-03-22,2.175
2023-03-23,2.2125
2023-03-24,2.238
2023-03-27,2.2425
2023-03-28,2.178
2023-03-29,2.361
2023-03-30,2.277
2023-03-31,2.25
2023-04-03,2.2995
2023-04-04,2.3655
2023-04-05,2.175
2023-04-06,2.064
2023-04-07,2.073
2023-04-10,2.0385
2023-04-11,2.031
2023-04-12,2.0325
2023-04-13,2.0025
2023-04-14,1.9665
2023-04-17,1.9425
2023-04-18,1.8525
2023-04-19,1.8975
2023-04-20,1.872
2023-04-24,1.881
2023-04-25,1.8165
2023-04-26,1.7535
2023-04-27,1.7265
2023-04-28,1.7175
2023-05-02,1.5495
2023-05-03,1.56
2023-05-04,1.578
2023-05-05,1.5735
2023-05-08,1.5675
2023-05-09,1.5105
2023-05-10,1.515
2023-05-11,1.5375
2023-05-12,1.5075
2023-05-15,1.5
2023-05-16,1.5375
2023-05-17,1.6905
2023-05-18,1.5915
2023-05-22,1.635
2023-05-23,1.6605
2023-05-24,1.599
2023-05-25,1.545
2023-05-26,1.5975
2023-05-29,1.7565
2023-05-30,1.8015
2023-05-31,1.857
2023-06-01,1.95
2023-06-02,1.8915
2023-06-05,1.9185
2023-06-06,1.875
2023-06-07,1.8615
2023-06-08,1.8195
2023-06-09,1.7985
2023-06-12,1.797
2023-06-13,1.68
2023-06-14,1.689
2023-06-15,1.7685
2023-06-16,1.725
2023-06-19,1.71
2023-06-20,1.728
2023-06-21,1.635
2023-06-22,1.629
2023-06-23,1.731
2023-06-26,1.779
2023-06-27,1.7955
2023-07-03,1.824
2023-07-04,1.8225
2023-07-05,1.824
2023-07-06,1.9125
2023-07-07,1.8885
2023-07-10,1.9455
2023-07-11,1.98
2023-07-12,1.8
2023-07-13,1.776
2023-07-14,1.8
2023-07-17,1.8945
2023-07-18,1.8615
2023-07-19,1.842
2023-07-20,1.8495
2023-07-21,1.9425
2023-07-24,1.8795
2023-07-25,1.9095
2023-07-26,1.95
2023-07-27,2.025
2023-07-28,2.124
2023-07-31,2.106
2023-08-01,2.1495
2023-08-02,2.1795
2023-08-03,2.2665
2023-08-04,2.175
2023-08-07,2.2395
2023-08-08,2.235
2023-08-09,2.193
2023-08-10,2.2935
2023-08-11,2.3445
2023-08-14,2.34
2023-08-15,2.301
2023-08-16,2.271
2023-08-17,2.3265
2023-08-18,2.3265
2023-08-21,2.532
2023-08-22,2.6625
2023-08-23,2.658
2023-08-24,2.5755
2023-08-25,2.559
2023-08-28,2.5005
2023-08-29,2.4735
2023-08-31,2.688
2023-09-01,2.595
2023-09-04,2.505
2023-09-05,2.535
2023-09-06,2.6775
2023-09-07,2.7375
2023-09-08,2.685
2023-09-11,2.577
2023-09-12,2.6385
2023-09-13,2.6385
2023-09-14,2.5815
2023-09-15,2.475
2023-09-18,2.505
2023-09-19,2.5335
2023-09-20,2.505
2023-09-21,2.565
2023-09-22,2.5605
2023-09-25,2.6685
2023-09-26,2.64
2023-09-27,2.67
2023-09-28,2.607
2023-09-29,2.769
2023-10-02,2.9175
2023-10-03,2.8905
2023-10-04,2.832
2023-10-05,2.9115
2023-10-06,2.8125
2023-10-09,2.7255
2023-10-10,2.805
2023-10-11,2.8665
2023-10-12,2.79
2023-10-13,2.7375
2023-10-16,2.595
2023-10-17,2.667
2023-10-18,2.586
2023-10-19,2.6475
2023-10-20,2.625
2023-10-23,2.58
2023-10-24,2.703
2023-10-25,2.4735
2023-10-26,2.706
2023-10-27,2.82
2023-10-30,3.0375
2023-10-31,2.793
2023-11-01,2.685
2023-11-02,2.7015
2023-11-03,2.6775
2023-11-06,2.6685
2023-11-07,2.679
2023-11-08,2.7705
2023-11-09,2.775
2023-11-10,2.775
2023-11-13,2.6085
2023-11-14,2.601
2023-11-15,2.61
2023-11-16,2.64
2023-11-17,2.661
2023-11-20,2.6625
2023-11-21,2.8635
2023-11-22,3.0165
2023-11-23,3.318
2023-11-24,3.33
2023-11-27,3.3525
2023-11-28,3.45
2023-11-29,3.3435
2023-11-30,3.318
2023-12-01,2.9865
2023-12-04,2.9625
2023-12-05,2.8545
2023-12-06,2.8425
2023-12-07,2.925
2023-12-08,2.9625
2023-12-11,2.8335
2023-12-12,2.7945
2023-12-13,2.6895
2023-12-14,2.8305
2023-12-15,2.76
2023-12-18,2.787
2023-12-19,2.811
2023-12-20,2.721
2023-12-21,2.7375
2023-12-22,2.658
2023-12-25,2.6145
2023-12-26,2.6265
2023-12-27,2.76
2023-12-28,2.766
2023-12-29,2.925
2024-01-02,2.988
2024-01-03,3.012
2024-01-04,3.045
2024-01-05,3.072
2024-01-08,3.18
2024-01-09,3.2025
2024-01-10,3.2055
2024-01-11,3.2175
2024-01-12,3.225
2024-01-15,3.2355
2024-01-16,3.333
2024-01-17,3.3735
2024-01-18,3.375
2024-01-19,3.375
2024-01-22,3.444
2024-01-23,3.45
2024-01-24,3.4515
2024-01-25,3.381
2024-01-26,3.0435
2024-01-29,2.9625
2024-01-30,2.9715
2024-01-31,2.9625
2024-02-01,2.9265
2024-02-02,2.8815
2024-02-05,2.8935
2024-02-06,2.934
2024-02-07,2.9475
2024-02-08,3.087
2024-02-09,2.9625
2024-02-12,2.982
2024-02-13,2.898
2024-02-14,2.9655
2024-02-15,3.0855
2024-02-16,3.153
2024-02-19,3.09
2024-02-20,3.114
2024-02-21,3.2385
2024-02-22,3.2235
2024-02-23,3.093
2024-02-26,3.0795
2024-02-27,2.985
2024-02-28,2.916
2024-02-29,3.06
2024-03-01,3.096
2024-03-04,3.126
2024-03-05,3.1635
2024-03-06,2.9775
2024-03-07,3.2085
2024-03-08,3.258
2024-03-11,3.3225
2024-03-12,3.084
2024-03-13,3.1275
2024-03-14,3.1875
2024-03-15,3.1725
2024-03-18,3.21
2024-03-19,3.228
2024-03-20,3.186
2024-03-21,3.114
2024-03-22,3.0705
2024-03-25,2.94
2024-03-26,2.8185
2024-03-27,2.865
2024-03-28,2.88
2024-03-29,2.874
2024-04-01,2.823
2024-04-02,2.781
2024-04-03,2.775
2024-04-04,2.667
2024-04-05,2.781
2024-04-08,2.988
2024-04-09,3.0435
2024-04-15,3.015
2024-04-16,3.0315
2024-04-17,3.111
2024-04-18,3.198
2024-04-19,3.135
2024-04-22,3.1425
2024-04-24,3.15
2024-04-25,3.132
2024-04-26,3.0135
2024-04-29,2.9805
2024-04-30,3.1125
2024-05-02,3.147
2024-05-03,3.237
2024-05-06,3.423
2024-05-07,3.411
2024-05-08,3.666
2024-05-09,3.81
2024-05-10,3.81
2024-05-13,3.6735
2024-05-14,3.684
2024-05-15,3.6645
2024-05-16,3.8963
2024-05-17,3.507
2024-05-20,3.4305
2024-05-21,3.318
2024-05-22,3.4005
2024-05-23,3.5085
2024-05-24,3.294
2024-05-27,3.318
2024-05-28,3.357
2024-05-29,3.0225
2024-05-30,2.9985
2024-05-31,3.009
2024-06-03,2.9775
2024-06-04,3.075
2024-06-05,3.0225
2024-06-06,3.069
2024-06-07,2.952
2024-06-10,2.9625
2024-06-11,2.8575
2024-06-12,2.7675
2024-06-13,2.9775
2024-06-14,2.964
2024-06-20,2.9325
2024-06-21,2.9145
2024-06-24,2.8485
2024-06-25,2.8215
2024-06-26,2.781
2024-06-27,2.7945
2024-06-28,2.778
2024-07-01,2.691
2024-07-02,2.7015
2024-07-03,2.7105
2024-07-04,2.634
2024-07-05,2.6025
2024-07-08,2.6205
2024-07-09,2.643
2024-07-10,2.6115
2024-07-11,2.685
2024-07-12,2.6685
2024-07-16,2.703
2024-07-17,2.739
2024-07-18,2.7645
2024-07-19,2.8575
2024-07-22,2.763
2024-07-23,2.6843
2024-07-24,2.673
2024-07-25,2.6843
2024-07-26,2.6438
2024-07-29,2.5718
2024-07-30,2.7338
2024-07-31,2.8688
2024-08-01,3.1545
2024-08-02,3.3075
2024-08-05,3.24
2024-08-06,3.2153
2024-08-07,3.2018
2024-08-08,3.51
2024-08-09,3.5843
2024-08-12,3.6788
2024-08-13,3.6563
2024-08-14,3.6112
2024-08-15,3.7913
2024-08-16,3.8182
2024-08-19,3.8925
2024-08-20,4.0905
2024-08-21,4.095
2024-08-22,4.356
2024-08-23,4.2525
2024-08-26,4.005
2024-08-27,4.0275
2024-08-28,4.0298
2024-08-29,4.0163
2024-09-02,4.1175
2024-09-03,4.527
2024-09-04,4.977
2024-09-05,5.2425
2024-09-06,5.13
2024-09-09,4.9905
2024-09-10,4.9905
2024-09-11,4.797
2024-09-12,4.8375
2024-09-13,5.1075
2024-09-16,5.2425
2024-09-17,5.2605
2024-09-18,5.157
2024-09-19,5.2875
2024-09-20,5.22
2024-09-23,5.418
2024-09-24,5.76
2024-09-25,5.184
2024-09-26,4.6665
2024-09-27,4.2008
2024-09-30,4.617
2024-10-01,5.076
2024-10-02,4.95
2024-10-03,4.7205
2024-10-04,4.9455
2024-10-07,5.148
2024-10-08,5.445
2024-10-09,5.463
2024-10-10,5.3865
2024-10-11,5.31
2024-10-14,5.1705
2024-10-15,5.1255
2024-10-16,5.3505
2024-10-17,5.3505
2024-10-18,5.4135
2024-10-21,5.472
2024-10-22,5.4
2024-10-23,5.391
2024-10-24,5.5755
2024-10-25,5.769
2024-10-28,5.8185
2024-10-30,5.9265
2024-10-31,5.895
2024-11-01,5.8815
2024-11-04,5.8095
2024-11-05,5.904
