year,month,month_end_date,rediscount_rate,advance_rate
1996,1,1996-01-31,50.0,57.0
1996,2,1996-02-29,50.0,57.0
1996,3,1996-03-31,50.0,57.0
1996,4,1996-04-30,50.0,57.0
1996,5,1996-05-31,50.0,57.0
1996,6,1996-06-30,50.0,57.0
1996,7,1996-07-31,50.0,57.0
1996,8,1996-08-31,50.0,57.0
1996,9,1996-09-30,50.0,57.0
1996,10,1996-10-31,50.0,57.0
1996,11,1996-11-30,50.0,57.0
1996,12,1996-12-31,50.0,57.0
1997,1,1997-01-31,50.0,57.0
1997,2,1997-02-28,50.0,57.0
1997,3,1997-03-31,50.0,57.0
1997,4,1997-04-30,50.0,57.0
1997,5,1997-05-31,50.0,57.0
1997,6,1997-06-30,50.0,57.0
1997,7,1997-07-31,50.0,57.0
1997,8,1997-08-31,67.0,80.0
1997,9,1997-09-30,67.0,80.0
1997,10,1997-10-31,67.0,80.0
1997,11,1997-11-30,67.0,80.0
1997,12,1997-12-31,67.0,80.0
1998,1,1998-01-31,67.0,80.0
1998,2,1998-02-28,67.0,80.0
1998,3,1998-03-31,67.0,80.0
1998,4,1998-04-30,67.0,80.0
1998,5,1998-05-31,67.0,80.0
1998,6,1998-06-30,67.0,80.0
1998,7,1998-07-31,67.0,80.0
1998,8,1998-08-31,67.0,80.0
1998,9,1998-09-30,67.0,80.0
1998,10,1998-10-31,67.0,80.0
1998,11,1998-11-30,67.0,80.0
1998,12,1998-12-31,67.0,80.0
1999,1,1999-01-31,67.0,80.0
1999,2,1999-02-28,67.0,80.0
1999,3,1999-03-31,67.0,80.0
1999,4,1999-04-30,67.0,80.0
1999,5,1999-05-31,67.0,80.0
1999,6,1999-06-30,67.0,80.0
1999,7,1999-07-31,67.0,80.0
1999,8,1999-08-31,67.0,80.0
1999,9,1999-09-30,67.0,80.0
1999,10,1999-10-31,67.0,80.0
1999,11,1999-11-30,67.0,80.0
1999,12,1999-12-31,60.0,70.0
2000,1,2000-01-31,60.0,70.0
2000,2,2000-02-29,60.0,70.0
2000,3,2000-03-31,60.0,70.0
2000,4,2000-04-30,60.0,70.0
2000,5,2000-05-31,60.0,70.0
2000,6,2000-06-30,60.0,70.0
2000,7,2000-07-31,60.0,70.0
2000,8,2000-08-31,60.0,70.0
2000,9,2000-09-30,60.0,70.0
2000,10,2000-10-31,60.0,70.0
2000,11,2000-11-30,60.0,70.0
2000,12,2000-12-31,60.0,70.0
2001,1,2001-01-31,60.0,70.0
2001,2,2001-02-28,60.0,70.0
2001,3,2001-03-31,60.0,70.0
2001,4,2001-04-30,60.0,70.0
2001,5,2001-05-31,60.0,70.0
2001,6,2001-06-30,60.0,70.0
2001,7,2001-07-31,60.0,70.0
2001,8,2001-08-31,60.0,70.0
2001,9,2001-09-30,60.0,70.0
2001,10,2001-10-31,60.0,70.0
2001,11,2001-11-30,60.0,70.0
2001,12,2001-12-31,60.0,70.0
2002,1,2002-01-31,60.0,70.0
2002,2,2002-02-28,60.0,70.0
2002,3,2002-03-31,60.0,70.0
2002,4,2002-04-30,60.0,70.0
2002,5,2002-05-31,55.0,64.0
2002,6,2002-06-30,55.0,64.0
2002,7,2002-07-31,55.0,64.0
2002,8,2002-08-31,55.0,64.0
2002,9,2002-09-30,55.0,64.0
2002,10,2002-10-31,55.0,64.0
2002,11,2002-11-30,55.0,64.0
2002,12,2002-12-31,55.0,64.0
2003,1,2003-01-31,55.0,64.0
2003,2,2003-02-28,55.0,64.0
2003,3,2003-03-31,55.0,64.0
2003,4,2003-04-30,55.0,64.0
2003,5,2003-05-31,55.0,64.0
2003,6,2003-06-30,50.0,57.0
2003,7,2003-07-31,50.0,57.0
2003,8,2003-08-31,50.0,57.0
2003,9,2003-09-30,50.0,57.0
2003,10,2003-10-31,43.0,48.0
2003,11,2003-11-30,43.0,48.0
2003,12,2003-12-31,43.0,48.0
2004,1,2004-01-31,43.0,48.0
2004,2,2004-02-29,43.0,48.0
2004,3,2004-03-31,43.0,48.0
2004,4,2004-04-30,43.0,48.0
2004,5,2004-05-31,43.0,48.0
2004,6,2004-06-30,38.0,42.0
2004,7,2004-07-31,38.0,42.0
2004,8,2004-08-31,38.0,42.0
2004,9,2004-09-30,38.0,42.0
2004,10,2004-10-31,38.0,42.0
2004,11,2004-11-30,38.0,42.0
2004,12,2004-12-31,38.0,42.0
2005,1,2005-01-31,32.0,35.0
2005,2,2005-02-28,32.0,35.0
2005,3,2005-03-31,32.0,35.0
2005,4,2005-04-30,32.0,35.0
2005,5,2005-05-31,28.0,30.0
2005,6,2005-06-30,28.0,30.0
2005,7,2005-07-31,28.0,30.0
2005,8,2005-08-31,28.0,30.0
2005,9,2005-09-30,28.0,30.0
2005,10,2005-10-31,28.0,30.0
2005,11,2005-11-30,28.0,30.0
2005,12,2005-12-31,23.0,25.0
2006,1,2006-01-31,23.0,25.0
2006,2,2006-02-28,23.0,25.0
2006,3,2006-03-31,23.0,25.0
2006,4,2006-04-30,23.0,25.0
2006,5,2006-05-31,23.0,25.0
2006,6,2006-06-30,23.0,25.0
2006,7,2006-07-31,23.0,25.0
2006,8,2006-08-31,23.0,25.0
2006,9,2006-09-30,23.0,25.0
2006,10,2006-10-31,23.0,25.0
2006,11,2006-11-30,23.0,25.0
2006,12,2006-12-31,27.0,29.0
2007,1,2007-01-31,27.0,29.0
2007,2,2007-02-28,27.0,29.0
2007,3,2007-03-31,27.0,29.0
2007,4,2007-04-30,27.0,29.0
2007,5,2007-05-31,27.0,29.0
2007,6,2007-06-30,27.0,29.0
2007,7,2007-07-31,27.0,29.0
2007,8,2007-08-31,27.0,29.0
2007,9,2007-09-30,27.0,29.0
2007,10,2007-10-31,27.0,29.0
2007,11,2007-11-30,27.0,29.0
2007,12,2007-12-31,25.0,27.0
2008,1,2008-01-31,25.0,27.0
2008,2,2008-02-29,25.0,27.0
2008,3,2008-03-31,25.0,27.0
